date;year month;price_soybean;Brazil-Tmin;Brazil-Tmax;Brazil-T mean;Brazil-Precipitation;ARGENTINA-Tmin;ARGENTINA-Tmax;ARGENTINA T Mean;ARGENTINA Precipitation;Precipitation_USA;Avg_Temperature_USA;real_interest_rate;exp_infl_1year;china_gdp_pp;eur_gdp_pp;usa_gdp_pp;world_food_price_index;meat_price_index;DXY;price_gold;SP500;VIX;price_wti_oil;price_corn;price_wheat;SOYBEANS - USA PRODUCTION [mTons];SOYBEANS - India PRODUCTION [mTons];SOYBEANS - Brazil PRODUCTION [mTons];SOYBEANS - Argentina PRODUCTION [mTons];SOYBEANS - EU PRODUCTION [mTons];SOYBEANS - China PRODUCTION [mTons];SOYBEANS - USA Stocks [mTons]
07/01/1988;jul-88;787.5;;;;;;;;;51.562;25.39;4.43535;4.27011;;;;;;97.53;436.1;;;;;;42.153;1.547;23.6;9.9;;;8232
08/01/1988;ago-88;867.5;;;;;;;;;58.928;25.67;4.54274;4.36281;;;;;;;429.3;;;;;;42.153;1.547;23.6;9.9;;;8232
09/01/1988;sep-88;813;;;;;;;;;77.978;20.33;4.70786;4.41421;;;;;;97.69;394.4;;;;;;42.153;1.547;23.6;9.9;;;8232
10/03/1988;oct-88;789.25;;;;;;;;;52.07;9.28;4.46199;4.37206;;;;;;93.76;412.7;;;;;;42.153;1.547;23.6;9.9;;;37199
11/01/1988;nov-88;763.75;;;;;;;;;149.86;5.89;4.35872;4.25045;;;;;;90.53;410;;;;;;42.153;1.547;23.6;9.9;;;37199
12/01/1988;dic-88;819.25;;;;;;;;;85.852;-0.5;4.61794;4.46126;;;;;;92.5;;;;;;;42.153;1.547;23.6;9.9;;;37199
01/02/1989;ene-89;772.75;21.8;29;25.4;259;17.2;32.1;24.65;116;46.736;2.28;4.86319;4.48021;883.76;24854.1;39014.2;;;96.77;391.6;;;;;;52.354;1.806;20.34;6.5;;;24229
02/01/1989;feb-89;773.5;21.7;28.9;25.3;207;16.6;29.4;23;91.3;39.37;-5.83;4.73188;4.40077;;;;;;95.67;385.1;;;;;;52.354;1.806;20.34;6.5;;;24229
03/01/1989;mar-89;738.25;21.2;28.9;25.05;179;13.5;25.3;19.4;128.6;53.848;5.39;4.97372;4.53051;;;;;;98.14;;;;;;;52.354;1.806;20.34;6.5;;;24229
04/03/1989;abr-89;729.5;20.1;28.4;24.25;91;10.2;23.7;16.95;91.2;148.844;11.5;4.87105;4.70286;;;;;;97.71;377.9;;;;;;52.354;1.806;20.34;6.5;;;12642
05/01/1989;may-89;714;17.2;25.9;21.55;81;7.1;18.6;12.85;55.3;97.282;15.61;4.62966;4.85257;;;;;;;363.3;;;;;;52.354;1.806;20.34;6.5;;;12642
06/01/1989;jun-89;653.5;16.4;25.7;21.05;49;5.4;16;10.7;25.1;68.072;22.11;4.41117;4.38414;;;;;;102.02;374;;;;;;52.354;1.806;20.34;6.5;;;12642
07/03/1989;jul-89;578.75;16;26.1;21.05;30;3;14.2;8.6;23.8;38.862;24.33;4.00268;4.32661;;;;;;97.39;370.5;;;;;;52.354;1.806;20.34;6.5;;;4954
08/01/1989;ago-89;587.5;17.6;28.8;23.2;34;6.8;17.3;12.05;32;81.788;22.72;3.73935;4.12738;;;;;;102.28;360.8;;;;;;52.354;1.806;20.34;6.5;;;4954
09/01/1989;sep-89;568;19.6;30.4;25;92;5.4;18.1;11.75;57.3;131.572;17.5;4.27707;4.02127;;;;;;98.47;367.2;;;;;;52.354;1.806;20.34;6.5;;;4954
10/02/1989;oct-89;572.25;21.2;30.2;25.7;151;8.7;21.9;15.3;109;44.958;13.56;4.29718;4.22397;;;;;;98.07;374.7;;;;;;52.354;1.806;20.34;6.5;;;43837
11/01/1989;nov-89;582.75;21.2;29.2;25.2;173;11.7;27;19.35;102.1;26.416;5.89;4.03013;3.99881;;;;;;96.27;402.5;;;;;;52.354;1.806;20.34;6.5;;;43837
12/01/1989;dic-89;582.25;21.8;29.2;25.5;227;16.8;30.1;23.45;109;17.018;-7.39;4.02967;3.66036;;;;;;93.21;412.4;;;;;;52.354;1.806;20.34;6.5;;;43837
01/01/1990;ene-90;561;21.8;29;25.4;259;16.2;29.8;23;116;58.42;2.78;4.12762;4.15169;905.03;25633.65;39303.49;;;;406.1;;25.36;;;;52.416;2.602;15.75;10.7;;;28726
02/01/1990;feb-90;580.75;21.7;28.9;25.3;207;15.1;28.5;21.8;91.3;145.034;1.94;4.36693;4.43184;;;;;;93.96;370.2;;21.99;;;;52.416;2.602;15.75;10.7;;;28726
