date,year month,price_soybean,real_interest_rate,SP500,SOYBEANS - USA PRODUCTION [mTons]
7/1/1988,jul-88,787.5,4.43535,441,42.153
8/1/1988,ago-88,867.5,4.54274,474.9,42.153
9/1/1988,sep-88,813,4.70786,511.5,42.153
10/3/1988,oct-88,789.25,4.46199,532.5,42.153
11/1/1988,nov-88,763.75,4.35872,558.5,42.153
12/1/1988,dic-88,819.25,4.61794,563,42.153
1/2/1989,ene-89,772.75,4.86319,547.5,52.354
2/1/1989,feb-89,773.5,4.73188,567,52.354
3/1/1989,mar-89,738.25,4.97372,618,52.354
4/3/1989,abr-89,729.5,4.87105,599,52.354
5/1/1989,may-89,714,4.62966,626.5,52.354
6/1/1989,jun-89,653.5,4.41117,605.7,52.354
7/3/1989,jul-89,578.75,4.00268,586,52.354
8/1/1989,ago-89,587.5,3.73935,562,52.354
9/1/1989,sep-89,568,4.27707,595,52.354
10/2/1989,oct-89,572.25,4.29718,593,52.354
11/1/1989,nov-89,582.75,4.03013,616,52.354
12/1/1989,dic-89,582.25,4.02967,592.5,52.354
1/1/1990,ene-90,561,4.12762,553,52.416
2/1/1990,feb-90,580.75,4.36693,615.3,52.416
3/1/1990,mar-90,595,4.55197,612,52.416
4/2/1990,abr-90,648.5,4.55216,607,52.416
5/1/1990,may-90,607.25,4.80506,586.5,52.416
6/1/1990,jun-90,650.5,4.38261,597.5,52.416
7/2/1990,jul-90,610,4.34182,629.5,52.416
8/1/1990,ago-90,613.75,4.17053,631,52.416
9/3/1990,sep-90,617.5,4.39874,641,52.416
10/1/1990,oct-90,609.25,4.20054,606,52.416
11/1/1990,nov-90,589.5,4.05885,639,52.416
12/3/1990,dic-90,574.75,3.89392,664,52.416
1/1/1991,ene-91,566.75,3.92293,618.3,54.065
2/1/1991,feb-91,588,3.90705,598,54.065
3/1/1991,mar-91,574.75,4.17584,638,54.065
4/1/1991,abr-91,589.5,4.10983,636,54.065
5/1/1991,may-91,581.75,4.04992,620.5,54.065
6/3/1991,jun-91,536.75,4.18764,605.9,54.065
7/1/1991,jul-91,600.5,4.22225,568.9,54.065
8/1/1991,ago-91,590.5,4.13992,514.5,54.065
9/2/1991,sep-91,587,3.8785,513,54.065
10/1/1991,oct-91,567,3.63786,544.6,54.065
11/1/1991,nov-91,557,3.56506,552.1,54.065
12/2/1991,dic-91,557,3.41033,536,54.065
1/1/1992,ene-92,572,3.19854,530.4,59.612
2/3/1992,feb-92,589.25,3.62829,557.2,59.612
3/2/1992,mar-92,588.25,3.66026,528.3,59.612
4/1/1992,abr-92,580.25,3.78986,529.5,59.612
5/1/1992,may-92,614,3.74617,495.1,59.612
6/1/1992,jun-92,618.75,3.56858,448.3,59.612
7/1/1992,jul-92,552,3.3531,443,59.612
8/3/1992,ago-92,541,3.12482,390.5,59.612
9/1/1992,sep-92,540.75,2.95734,423.3,59.612
10/1/1992,oct-92,552.75,2.72804,452.1,59.612
11/2/1992,nov-92,563.75,3.32463,426,59.612
12/1/1992,dic-92,574.25,3.50969,414,59.612
1/1/1993,ene-93,574,3.26791,402.5,50.885
2/1/1993,feb-93,580,3.00479,401.1,50.885
3/1/1993,mar-93,588.25,2.67342,440.4,50.885
4/1/1993,abr-93,591.25,2.77452,472,50.885
5/3/1993,may-93,608.5,2.66472,474.4,50.885
6/1/1993,jun-93,658.5,2.76124,484.3,50.885
7/1/1993,jul-93,688,2.5918,493.3,50.885
8/2/1993,ago-93,663.5,2.7029,482.7,50.885
9/1/1993,sep-93,629.75,2.45058,514.5,50.885
10/1/1993,oct-93,629.5,2.39884,520.3,50.885
11/1/1993,nov-93,671.5,2.5623,550.6,50.885
12/1/1993,dic-93,712.5,2.72012,559.1,50.885
1/3/1994,ene-94,686.75,2.77268,571.5,68.444
2/1/1994,feb-94,683.75,2.62017,565.4,68.444
3/1/1994,mar-94,681.75,2.9712,550.5,68.444
4/1/1994,abr-94,676.5,3.65918,556.5,68.444
5/2/1994,may-94,701,3.62458,568.2,68.444
6/1/1994,jun-94,628.75,3.59357,556.6,68.444
7/1/1994,jul-94,565.75,3.78642,562.3,68.444
8/1/1994,ago-94,573.75,3.58028,570.8,68.444
9/1/1994,sep-94,536,3.6371,577.8,68.444
10/3/1994,oct-94,554,3.95662,606,68.444
11/1/1994,nov-94,563.5,4.10325,625.7,68.444
12/1/1994,dic-94,561.5,4.11695,609.6,68.444
1/2/1995,ene-95,547.5,4.24429,619.4,59.174
2/1/1995,feb-95,564.75,4.055,608.3,59.174
3/1/1995,mar-95,574,3.72099,594.4,59.174
4/3/1995,abr-95,580,3.65493,611.7,59.174
5/1/1995,may-95,580.75,3.42048,621.2,59.174
6/1/1995,jun-95,595,2.90471,639.2,59.174
7/3/1995,jul-95,614,2.93803,632.2,59.174
8/1/1995,ago-95,623,3.14849,639.6,59.174
9/1/1995,sep-95,646,3.0176,626.4,59.174
10/2/1995,oct-95,684.5,3.00973,647.6,59.174
11/1/1995,nov-95,686.25,2.88422,650.4,59.174
12/1/1995,dic-95,744.75,2.72215,667.4,59.174
1/1/1996,ene-96,738.75,2.64759,672.2,64.78
2/1/1996,feb-96,745,2.59786,685.5,64.78
3/1/1996,mar-96,751,2.89729,702,64.78
4/1/1996,abr-96,795,3.10833,681.7,64.78
5/1/1996,may-96,788.25,3.30503,686.3,64.78
6/3/1996,jun-96,746.25,3.49408,690.3,64.78
7/1/1996,jul-96,733,3.36926,697.2,64.78
8/1/1996,ago-96,794.5,3.32942,718.2,64.78
9/2/1996,sep-96,758,3.52082,739,64.78
10/1/1996,oct-96,669,3.31835,748.7,64.78
11/1/1996,nov-96,712.75,3.14165,769,64.78
12/2/1996,dic-96,687.75,2.95094,778.8,64.78
1/1/1997,ene-97,738.25,3.25487,762.3,73.176
2/3/1997,feb-97,793.25,3.21337,774.8,73.176
3/3/1997,mar-97,855.75,3.30856,804,73.176
4/1/1997,abr-97,887,3.55047,830.7,73.176
5/1/1997,may-97,880.5,3.43698,817,73.176
6/2/1997,jun-97,617.5,3.27911,781.2,73.176
7/1/1997,jul-97,658,3.19988,788,73.176
8/1/1997,ago-97,625.5,3.08851,814.8,73.176
9/1/1997,sep-97,621.5,3.15087,819.1,73.176
10/1/1997,oct-97,696.25,3.01659,776.1,73.176
11/3/1997,nov-97,718.25,2.97296,764.2,73.176
12/1/1997,dic-97,676.25,2.91985,732.7,73.176
1/1/1998,ene-98,672.75,2.8403,692.7,74.598
2/2/1998,feb-98,658.25,2.77707,687.3,74.598
3/2/1998,mar-98,645,2.85251,711.8,74.598
