date,price_soybean,real_interest_rate,SP500,usa_prod,previous_price_soybean,previous_usa_production,previous_SP500,previous_real_interest_rate,price_soybean_avg_3_months,price_soybean_avg_6_months,price_soybean_avg_12_months,3mprevious_price_soybean,3mprevious_SP500,3mprevious_real_interest_rate,6mprevious_price_soybean,6mprevious_SP500,6mprevious_real_interest_rate,month,year,month_sin,month_cos,year_sin,year_cos
1988-07-01,787.5,0.8999470343904772,0.0,0.0,787.5,42.153,326.2,4.43535,822.6666666666666,806.7083333333334,768.4791666666666,787.5,326.2,4.43535,787.5,326.2,4.43535,7,1988,-0.4999999999999997,-0.8660254037844388,-0.10545553423599771,0.9944240193695043
1988-08-01,867.5,0.9199048477471031,0.0,0.0,787.5,42.153,326.2,4.43535,822.6666666666666,806.7083333333334,768.4791666666666,787.5,326.2,4.43535,787.5,326.2,4.43535,8,1988,-0.8660254037844384,-0.5000000000000004,-0.10545553423599771,0.9944240193695043
1988-09-01,813.0,0.9505914493063363,0.0,0.0,867.5,42.153,326.2,4.54274,822.6666666666666,806.7083333333334,768.4791666666666,787.5,326.2,4.43535,787.5,326.2,4.43535,9,1988,-1.0,-1.8369701987210297e-16,-0.10545553423599771,0.9944240193695043
1988-10-03,789.25,0.9048979250490163,0.0,0.0,813.0,42.153,326.2,4.70786,823.25,806.7083333333334,768.4791666666666,787.5,326.2,4.43535,787.5,326.2,4.43535,10,1988,-0.8660254037844386,0.5000000000000001,-0.10545553423599771,0.9944240193695043
1988-11-01,763.75,0.8857057899774199,0.0,0.0,789.25,42.153,326.2,4.46199,788.6666666666666,806.7083333333334,768.4791666666666,867.5,326.2,4.43535,787.5,326.2,4.43535,11,1988,-0.5000000000000004,0.8660254037844384,-0.10545553423599771,0.9944240193695043
1988-12-01,819.25,0.9338803348913275,0.0,0.0,763.75,42.153,326.2,4.35872,790.75,806.7083333333334,768.4791666666666,813.0,326.2,4.43535,787.5,326.2,4.43535,12,1988,-2.4492935982947064e-16,1.0,-0.10545553423599771,0.9944240193695043
1989-01-02,772.75,0.9794586357174052,0.0,0.12851653543307084,819.25,42.153,326.2,4.61794,785.25,804.25,768.4791666666666,789.25,326.2,4.43535,787.5,326.2,4.43535,1,1989,0.49999999999999994,0.8660254037844387,-0.10236494580298798,0.9947469114658016
1989-02-01,773.5,0.9550554280457548,0.0,0.12851653543307084,772.75,42.153,326.2,4.86319,788.5,788.5833333333334,768.4791666666666,763.75,326.2,4.54274,867.5,326.2,4.54274,2,1989,0.8660254037844386,0.5000000000000001,-0.10236494580298798,0.9947469114658016
1989-03-01,738.25,1.0,0.0,0.12851653543307084,773.5,42.153,326.2,4.73188,761.5,776.125,768.4791666666666,819.25,326.2,4.70786,813.0,326.2,4.70786,3,1989,1.0,6.123233995736766e-17,-0.10236494580298798,0.9947469114658016
1989-04-03,729.5,0.9809193714747669,0.0,0.12851653543307084,738.25,42.153,326.2,4.97372,747.0833333333334,766.1666666666666,768.4791666666666,772.75,326.2,4.46199,789.25,326.2,4.46199,4,1989,0.8660254037844387,-0.4999999999999998,-0.10236494580298798,0.9947469114658016
1989-05-01,714.0,0.9360584294302945,0.0,0.12851653543307084,729.5,42.153,326.2,4.87105,727.25,757.875,768.4791666666666,773.5,326.2,4.35872,763.75,326.2,4.35872,5,1989,0.49999999999999994,-0.8660254037844387,-0.10236494580298798,0.9947469114658016
1989-06-01,653.5,0.8954533205720285,0.0,0.12851653543307084,714.0,42.153,326.2,4.62966,699.0,730.25,768.4791666666666,738.25,326.2,4.61794,819.25,326.2,4.61794,6,1989,1.2246467991473532e-16,-1.0,-0.10236494580298798,0.9947469114658016
1989-07-03,578.75,0.8195378053653232,0.0,0.12851653543307084,653.5,52.354,326.2,4.41117,648.75,697.9166666666666,751.0833333333334,729.5,326.2,4.86319,772.75,326.2,4.86319,7,1989,-0.4999999999999997,-0.8660254037844388,-0.10236494580298798,0.9947469114658016
1989-08-01,587.5,0.7705994406088257,0.0,0.12851653543307084,578.75,52.354,326.2,4.00268,606.5833333333334,666.9166666666666,727.75,714.0,326.2,4.73188,773.5,326.2,4.73188,8,1989,-0.8660254037844384,-0.5000000000000004,-0.10236494580298798,0.9947469114658016
1989-09-01,568.0,0.8705316074597879,0.0,0.12851653543307084,587.5,52.354,326.2,3.73935,578.0833333333334,638.5416666666666,707.3333333333334,653.5,326.2,4.97372,738.25,326.2,4.97372,9,1989,-1.0,-1.8369701987210297e-16,-0.10236494580298798,0.9947469114658016
1989-10-02,572.25,0.8742689352054043,0.0,0.12851653543307084,568.0,52.354,326.2,4.27707,575.9166666666666,612.3333333333334,689.25,578.75,326.2,4.87105,729.5,326.2,4.87105,10,1989,-0.8660254037844386,0.5000000000000001,-0.10236494580298798,0.9947469114658016
1989-11-01,582.75,0.824639229861453,0.0,0.12851653543307084,572.25,52.354,326.2,4.29718,574.3333333333334,590.4583333333334,674.1666666666666,587.5,326.2,4.62966,714.0,326.2,4.62966,11,1989,-0.5000000000000004,0.8660254037844384,-0.10236494580298798,0.9947469114658016
1989-12-01,582.25,0.8245537415092411,0.0,0.12851653543307084,582.75,52.354,326.2,4.03013,579.0833333333334,578.5833333333334,654.4166666666666,568.0,326.2,4.41117,653.5,326.2,4.41117,12,1989,-2.4492935982947064e-16,1.0,-0.10236494580298798,0.9947469114658016
1990-01-01,561.0,0.8427571852030813,0.0,0.1292976377952756,582.25,52.354,326.2,4.02967,575.3333333333334,575.625,636.7708333333334,572.25,326.2,4.00268,578.75,326.2,4.00268,1,1990,0.49999999999999994,0.8660254037844387,-0.09927336893445206,0.9950601982897337
1990-02-01,580.75,0.8872315712201603,0.0,0.1292976377952756,561.0,52.354,326.2,4.12762,574.6666666666666,574.5,620.7083333333334,582.75,326.2,3.73935,587.5,326.2,3.73935,2,1990,0.8660254037844386,0.5000000000000001,-0.09927336893445206,0.9950601982897337
1990-03-01,595.0,0.9216201901186615,0.0,0.1292976377952756,580.75,52.354,326.2,4.36693,578.9166666666666,579.0,608.7708333333334,582.25,326.2,4.27707,568.0,326.2,4.27707,3,1990,1.0,6.123233995736766e-17,-0.09927336893445206,0.9950601982897337
1990-04-02,648.5,0.9216555005250099,0.0,0.1292976377952756,595.0,52.354,326.2,4.55197,608.0833333333334,591.7083333333334,602.0208333333334,561.0,326.2,4.29718,572.25,326.2,4.29718,4,1990,0.8660254037844387,-0.4999999999999998,-0.09927336893445206,0.9950601982897337
1990-05-01,607.25,0.9686555098172221,0.0,0.1292976377952756,648.5,52.354,326.2,4.55216,616.9166666666666,595.7916666666666,593.125,580.75,326.2,4.03013,582.75,326.2,4.03013,5,1990,0.49999999999999994,-0.8660254037844387,-0.09927336893445206,0.9950601982897337
1990-06-01,650.5,0.8901456089651262,0.0,0.1292976377952756,607.25,52.354,326.2,4.80506,635.4166666666666,607.1666666666666,592.875,595.0,326.2,4.02967,582.25,326.2,4.02967,6,1990,1.2246467991473532e-16,-1.0,-0.09927336893445206,0.9950601982897337
